id,ema_pullback,ema_trend_h1,rsi_period,atr_period,rsi_long_min,rsi_long_max,rsi_short_min,rsi_short_max,atr_multiplier,time_exit_hour,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
291,50,100,14,14,40,60,35,50,2.5,23,10000,8992.72,-1007.28,-10.07,-19.47,-0.04,-0.01,-0.66,29.36,216,39.35,0.92,-4.66,773.68,-287.83,0.00075,0.0005,38.24,-48.31
292,50,100,14,14,40,60,35,55,1.5,23,10000,9473.25,-526.75,-5.27,-10.45,-0.02,-0.01,-0.42,24.96,312,38.78,0.96,-1.69,746.1,-213.15,0.00075,0.0005,38.24,-43.51
293,50,100,14,14,40,60,35,55,2.0,23,10000,8295.42,-1704.58,-17.05,-31.69,-0.08,-0.03,-0.92,34.34,270,37.78,0.86,-6.31,654.5,-200.86,0.00075,0.0005,38.24,-55.29
294,50,100,14,14,40,60,35,55,2.5,23,10000,8627.78,-1372.22,-13.72,-25.99,-0.06,-0.02,-0.78,33.4,240,38.75,0.89,-5.72,724.9,-245.41,0.00075,0.0005,38.24,-51.96
295,50,100,14,14,40,60,40,50,1.5,23,10000,11106.32,1106.32,11.06,23.86,0.07,0.04,1.4,17.05,256,41.8,1.11,4.32,870.82,-164.04,0.00075,0.0005,38.24,-27.18
296,50,100,14,14,40,60,40,50,2.0,23,10000,10569.47,569.47,5.69,11.96,0.04,0.02,0.54,22.22,221,40.72,1.05,2.58,859.38,-213.55,0.00075,0.0005,38.24,-32.55
297,50,100,14,14,40,60,40,50,2.5,23,10000,10428.58,428.58,4.29,8.93,0.04,0.01,0.35,25.55,193,41.45,1.04,2.22,827.95,-267.29,0.00075,0.0005,38.24,-33.95
298,50,100,14,14,40,60,40,55,1.5,23,10000,10629.79,629.79,6.3,13.26,0.05,0.02,0.66,20.19,287,40.42,1.06,2.19,804.19,-155.57,0.00075,0.0005,38.24,-31.94
299,50,100,14,14,40,60,40,55,2.0,23,10000,9419.19,-580.81,-5.81,-11.49,-0.02,-0.01,-0.37,31.19,249,39.36,0.95,-2.33,744.97,-200.86,0.00075,0.0005,38.24,-44.05
300,50,100,14,14,40,60,40,55,2.5,23,10000,9286.29,-713.71,-7.14,-14.01,-0.02,-0.01,-0.41,33.89,221,39.82,0.94,-3.23,730.67,-241.41,0.00075,0.0005,38.24,-45.38
301,50,100,14,14,40,65,35,50,1.5,23,10000,10232.54,232.54,2.33,4.8,0.03,0.01,0.23,20.83,310,38.39,1.02,0.75,836.52,-215.76,0.00075,0.0005,38.24,-35.91
302,50,100,14,14,40,65,35,50,2.0,23,10000,8842.32,-1157.68,-11.58,-22.19,-0.05,-0.02,-0.84,26.29,267,37.83,0.91,-4.34,718.4,-222.43,0.00075,0.0005,38.24,-49.82
303,50,100,14,14,40,65,35,50,2.5,23,10000,9033.49,-966.51,-9.67,-18.72,-0.03,-0.01,-0.64,29.38,238,38.66,0.93,-4.06,751.99,-278.28,0.00075,0.0005,38.24,-47.91
304,50,100,14,14,40,65,35,55,1.5,23,10000,9983.84,-16.16,-0.16,-0.33,0.01,0.01,-0.02,21.05,338,37.87,1.0,-0.05,786.5,-211.49,0.00075,0.0005,38.24,-38.4
305,50,100,14,14,40,65,35,55,2.0,23,10000,8429.54,-1570.46,-15.7,-29.42,-0.07,-0.03,-0.94,31.13,291,37.11,0.88,-5.4,665.31,-198.75,0.00075,0.0005,38.24,-53.94
306,50,100,14,14,40,65,35,55,2.5,23,10000,8706.99,-1293.01,-12.93,-24.6,-0.05,-0.02,-0.8,30.84,261,37.93,0.91,-4.95,731.85,-253.2,0.00075,0.0005,38.24,-51.17
307,50,100,14,14,40,65,40,50,1.5,23,10000,11822.65,1822.65,18.23,40.69,0.1,0.06,2.17,18.79,282,40.43,1.15,6.46,928.37,-176.79,0.00075,0.0005,38.24,-20.01
308,50,100,14,14,40,65,40,50,2.0,23,10000,10359.27,359.27,3.59,7.46,0.03,0.01,0.32,23.21,243,39.51,1.03,1.48,843.63,-215.88,0.00075,0.0005,38.24,-34.65
