id,ema_fast_m15,ema_slow_m15,ema_trend_h1,atr_period,atr_lookback,atr_multiplier,initial_capital,final_value,net_profit,total_return_pct,annual_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,num_trades,win_rate_pct,profit_factor,avg_trade,best_trade,worst_trade,commission,slippage,buy_hold_return_pct,excess_return_pct
55,9,26,100,14,3,2.0,10000,9776.13,-223.87,-2.24,-4.51,0.0,0.0,-0.23,19.87,179,25.7,0.98,-1.25,1133.93,-168.31,0.00075,0.0005,38.24,-40.48

56,9,26,100,14,3,2.5,10000,10028.93,28.93,0.29,0.59,0.02,0.01,0.03,20.61,179,27.37,1.0,0.16,1160.94,-213.14,0.00075,0.0005,38.24,-37.95

57,9,26,100,14,3,3.0,10000,10197.84,197.84,1.98,4.08,0.02,0.01,0.23,17.79,179,28.49,1.02,1.11,1146.43,-236.38,0.00075,0.0005,38.24,-36.26

58,9,26,100,14,5,2.0,10000,8918.88,-1081.12,-10.81,-20.81,-0.05,-0.02,-0.99,21.0,165,27.88,0.88,-6.55,1101.26,-172.65,0.00075,0.0005,38.24,-49.05

59,9,26,100,14,5,2.5,10000,9207.06,-792.94,-7.93,-15.5,-0.03,-0.01,-0.79,19.53,165,29.09,0.92,-4.81,1111.66,-217.5,0.00075,0.0005,38.24,-46.17

60,9,26,100,14,5,3.0,10000,9329.29,-670.71,-6.71,-13.2,-0.02,-0.01,-0.78,16.87,165,30.3,0.93,-4.06,1093.0,-255.65,0.00075,0.0005,38.24,-44.95

61,9,26,100,14,7,2.0,10000,9080.96,-919.04,-9.19,-17.85,-0.04,-0.02,-0.89,20.15,163,25.77,0.9,-5.64,1105.36,-162.61,0.00075,0.0005,38.24,-47.43

62,9,26,100,14,7,2.5,10000,9971.7,-28.3,-0.28,-0.58,0.01,0.0,-0.03,20.68,163,27.61,1.0,-0.17,1198.84,-218.58,0.00075,0.0005,38.24,-38.52

63,9,26,100,14,7,3.0,10000,10092.34,92.34,0.92,1.89,0.02,0.01,0.1,18.24,163,28.83,1.01,0.57,1188.73,-237.67,0.00075,0.0005,38.24,-37.32

64,9,26,100,20,3,2.0,10000,8781.32,-1218.68,-12.19,-23.28,-0.05,-0.03,-1.2,19.44,173,24.28,0.87,-7.04,1074.16,-159.05,0.00075,0.0005,38.24,-50.43

65,9,26,100,20,3,2.5,10000,9007.23,-992.77,-9.93,-19.2,-0.04,-0.02,-0.96,19.92,173,25.43,0.9,-5.74,1097.73,-202.11,0.00075,0.0005,38.24,-48.17

66,9,26,100,20,3,3.0,10000,8810.61,-1189.39,-11.89,-22.76,-0.05,-0.02,-1.19,19.06,173,26.01,0.88,-6.88,1070.73,-236.05,0.00075,0.0005,38.24,-50.13

67,9,26,100,20,5,2.0,10000,9183.44,-816.56,-8.17,-15.94,-0.04,-0.02,-0.8,19.93,151,28.48,0.9,-5.41,1118.79,-162.42,0.00075,0.0005,38.24,-46.41

68,9,26,100,20,5,2.5,10000,9689.89,-310.11,-3.1,-6.22,-0.0,-0.0,-0.34,18.44,151,29.8,0.97,-2.05,1146.62,-206.32,0.00075,0.0005,38.24,-41.34

69,9,26,100,20,5,3.0,10000,9542.55,-457.45,-4.57,-9.11,-0.01,-0.0,-0.53,17.08,151,30.46,0.95,-3.03,1118.41,-240.9,0.00075,0.0005,38.24,-42.81

70,9,26,100,20,7,2.0,10000,8192.43,-1807.57,-18.08,-33.41,-0.13,-0.04,-1.35,24.77,147,26.53,0.76,-12.3,511.12,-161.79,0.00075,0.0005,38.24,-56.32

